// Monster Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
// Note: Keep the Sprite_Name field as it is in the game client.

1001,SCORPION,Scorpion,Scorpion,16,153,1,108,81,1,25,7,16,5,12,15,10,5,19,5,10,12,0,4,23,0x2003091,129,1564,864,576,0,14392,1939,11540,1279,715,4520,7483,3936,19150,999,13564,200,1013,3649,16330,835,2434,940,2712,4531,2650,4109,6902,178,9004,2137
1002,PORING,Poring,Poring,1,60,1,27,20,1,8,1,2,5,6,1,1,0,6,5,10,12,1,3,21,0x83,1,1872,672,480,0,5735,3878,7161,1966,12110,2545,17549,4885,2139,2273,1265,2354,14570,546,18768,4759,1439,4489,19630,535,1757,4371,14555,269,578,413
//1003,TESTEGG,Test Egg,Test Egg,2,100000,0,10,10,0,3,9,99,0,1,99,1,1,1,1,10,12,0,4,22,0x0,512,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,HORNET,Hornet,Hornet,7,90,1,81,60,1,14,3,7,1,12,24,4,5,6,5,10,12,0,4,24,0x2001081,1,1292,792,216,0,31010,1047,20057,3680,1258,3313,12071,3039,2506,1547,575,1622,1161,126,12084,950,7589,3180,12524,2757,13600,505,13426,1482,12203,3266
1005,FARMILIAR,Familiar,Familiar,29,427,1,144,162,1,36,13,26,5,15,19,20,5,20,1,10,12,0,2,27,0x3881,129,1276,576,384,0,29101,560,18767,2716,2220,2252,31190,1989,6746,2910,12424,967,14726,1872,18655,926,27172,4189,2815,713,12077,257,2155,1661,21050,3469
//1006,THIEF_BUG_LARVA,Thief Bug Larva,Thief Bug Larva,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0x651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,FABRE,Fabre,Fabre,6,72,1,54,41,1,8,3,24,0,12,5,5,5,12,5,10,12,0,4,22,0x2000081,1,1672,672,480,0,6067,764,12342,561,1723,3389,2983,4244,20176,2511,31238,4610,2951,2382,18885,355,2403,3459,20033,1334,25048,1735,13042,1172,1724,4896
1008,PUPA,Pupa,Pupa,4,66,1,36,27,1,1,2,24,2,11,1,3,3,8,6,10,12,0,4,22,0x2000000,129,1001,1,1,0,31466,3363,12245,4699,9071,1113,19635,486,4152,4379,12772,2714,5701,2666,2563,2380,13725,4729,5822,603,28465,2342,12948,2811,1473,3156
1009,CONDOR,Condor,Condor,14,114,1,81,60,1,10,4,7,5,14,7,6,0,13,5,10,12,1,2,24,0x1081,129,1148,648,480,0,2504,1449,28420,2819,7155,3521,12095,804,20019,4819,4739,3682,5053,4573,24194,914,19285,511,4896,4022,19792,2917,22568,3945,6722,1810
1010,WILOW,Willow,Willow,6,91,1,63,47,1,13,5,38,2,13,3,8,5,12,5,10,12,1,3,22,0x81,1,1672,672,432,0,4468,2816,20463,2642,7675,2394,19815,599,5441,2564,2670,1766,6599,4100,4934,4239,19751,2871,24119,4483,5824,1039,22566,3401,1317,4820
1011,CHONCHON,Chonchon,Chonchon,3,57,1,45,36,1,13,2,27,0,13,4,4,0,8,5,10,12,0,4,24,0x2000081,1,1076,576,480,0,17255,1540,1187,1391,12307,3491,26007,1929,14101,4763,19959,1397,12431,2456,31229,1235,12918,778,7518,1344,6120,4992,14523,1566,7621,2651
